Quantidade;Preco_Real;Preco_Previsto
288;31.05;113.74189596749048
845;248.23;68.3196623220134
556;137.5;91.88703310036686
236;0.9;117.98239174767865
855;61.67;67.5041823642849
476;1.38;98.4108727621948
332;1.2;110.1537841534851
686;28.17;81.28579364989645
98;0.6;129.23601516433186
341;11.64;109.41985219152946
533;62.65;93.7626370031424
594;27.53;88.78820926099858
470;13.5;98.90016073683191
332;30.95;110.1537841534851
887;1.05;64.89464649955373
39;30.97;134.04734691492996
697;11.84;80.3887656963951
3;0.74;136.98307476275255
17;0.79;135.84140282193266
826;24.78;69.86907424169753
15;25.49;136.00449881347836
673;263.33;82.34591759494349
940;9.17;60.57260272359271
205;80.33;120.51037961663698
292;8.02;113.41570398439909
571;161.31;90.66381316377411
225;28.67;118.87941970117998
77;1.61;130.9485230755617
399;119.97;104.6900684367042
264;7.18;115.69904786603887
577;0.92;90.17452518913703
389;62.0;105.5055483944327
134;8.17;126.30028731650928
403;0.92;104.36387645361282
940;40.33;60.57260272359271
231;68.99;118.39013172654289
157;11.11;124.42468341373375
213;16.88;119.85799565045419
28;67.43;134.9443748684313
501;238.12;96.37217286787357
284;30.31;114.06808795058188
971;66.07;58.04461485463439
30;116.48;134.7812788768856
